출처,직군,검색어,공고 이름,회사 이름,회사 위치,마감일,링크,점수,워치리스트
고용24,애널리스트,Analyst,FP&A Analyst,아이리스브라이트,서울 강남구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366668&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,증권,IPO,[정규직] 경영기획팀 자금 및 IPO지원담당자 모집,(주)사이러스테라퓨틱스,서울 송파구,2026-08-30,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54618229&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,30,FALSE
고용24,컨설팅,컨설팅,미국전문 컨설팅그룹 AICPA,에스엠아이,서울 강남구,2026-09-04,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2608050000834&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,25,FALSE
고용24,AI,AI,[쿠팡 본사/풀재택 근무] AI 컨텐츠 품질 평가자 대규모 채용,리드커리어㈜,서울 강남구 등,2026-08-12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51367527&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,AI,AI전략실 경력직 채용,하나증권,서울 영등포구,2026-08-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=564542&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,50,TRUE
고용24,AI,머신러닝,AI에이전트/ML 엔지니어 채용(4개 부문),㈜씨에스리,서울 마포구,2026-08-26,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51327897&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,DL/ML AI엔지니어 채용,(주)펀진,서울 성동구,2026-09-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54516300&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,[하이브랩] AI 엔지니어 (AI Engineer / ML Engi...,(주)하이브랩,서울 등,2026-08-20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54517809&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,ML(머신러닝) 엔지니어,주식회사 로민,서울 서초구,2026-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=00172237&infoTypeCd=PRD&infoTypeGroup=tb_workinfogubun,25,FALSE
고용24,AI,머신러닝,머신러닝 엔지니어(ML&LLM),큐픽스,경기 성남시 분당구 등,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=00172232&infoTypeCd=PRD&infoTypeGroup=tb_workinfogubun,25,FALSE
고용24,AI,머신러닝,ML/DevOps Engineer,사이오닉에이아이,서울 강남구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=312163&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,머신러닝 엔지니어/ AI 고경력 개발자,㈜솔비트,서울 서초구,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51180663&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,25,FALSE
고용24,AI,머신러닝,[챌린저스] ML Engineer,화이트큐브,서울 강남구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=348118&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,Senior ML Solutions Engineer,슈퍼브에이아이(Superb AI),서울 강남구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=343025&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,AI Engineer (LLM Agent / ML),몬드리안에이아이,인천 연수구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=367999&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,ML 엔지니어,에이아이구루,서울 서초구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=370239&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,AI/ML 알고리즘 개발자 2년 이상,엔젤로보틱스,대전 대덕구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369441&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,머신러닝 엔지니어 (모델링 고도화),에이블리코퍼레이션,서울 서초구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=356354&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,25,FALSE
고용24,AI,머신러닝,[BD] Business Development Manager (ML...,마키나락스,서울 서초구,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368503&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,20,FALSE
고용24,AI,머신러닝,[(주)주인정보시스템] AI 모델 개발 (AI/ML model De...,(주)주인정보시스템,서울특별시 강남구 논현로102길,2026-08-11,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032606120026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,20,FALSE
