검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
AI,차세대 인공지능 기술을 선도하는 기업에서 NPU 임베디드 펌웨어 및...,딥바인드,경상남도 양산시 물금읍,"연봉 3,000 만원 ~ 3,600 만원",경력 학력무관,주5일 주 40시간 근로,,2026-09-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K131332607080022&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
AI,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,지니코딩스쿨컴퓨터학원,부산광역시 해운대구 좌동순환로,월급 230 만원 ~ 300 만원,경력1년 대졸(2~3년) ~ 박사,주5일 주 40시간 근로,,2026-09-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K130112607080026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
AI,대영지에스(주) AI 서비스 연구개발 매니저 (수석연구원급) 채용,대영지에스(주),대구 수성구,회사내규에 따름,경력무관 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54402812&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,역삼 페르소나 AI 기획자모집,위쉬정보기술㈜,서울 구로구,회사내규에 따름,경력무관 학력무관,주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51215390&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
AI,[O2O홈서비스 플랫폼 miso] (AI) Product Desig...,(유)미소,서울 종로구,회사내규에 따름,경력5년 학력무관,주5일,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51215882&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
AI,AI/AX 개발 PM,(주)디노,경기 용인시 기흥구 등,회사내규에 따름,경력5년 대졸(4년),주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54404021&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,[아리카] 로봇 AI 엔지니어 개발자 채용,아리카(주),경기 성남시 수정구 등,회사내규에 따름,신입/경력1년 대졸(4년),,,2026-07-20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54404080&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,AI 서비스 B2B 사업개발/영업,(주)딥세일즈,서울 강남구,회사내규에 따름,경력3년 학력무관,주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607080000333&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
AI,건축물 설비관제용 AI 솔루션 영업 담당자,오토시맨틱스,서울 성동구 등,회사내규에 따름,경력무관 학력무관,주5일,,2026-09-06,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51216552&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
AI,"체육도 이제 AI, 디지털 시대, 함성에서 함께 성장하세요.",함성스포츠클럽,전북 군산시,월급 250 만원 ~ 250 만원,경력무관 대졸(2~3년),주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54405051&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,[CORNERSTONE] AI Engineer(ML),주식회사 코너스톤앤컴퍼니,경기 성남시 분당구 등,회사내규에 따름,경력3년 대졸(4년),,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607080001025&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
AI,AI 기반 영상 분석 파이썬 개발자 모집,(주)택산,경기 하남시,회사내규에 따름,경력무관 대졸(4년),,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54406119&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,1인 사업가 능력을 갖춘 LLM AI 기획 UX 디자이너 기획자,(주)도슨티,서울 관악구,회사내규에 따름,경력무관 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54406573&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,"(주)윕스 AI 응용 기술 개발자 모집(신입,경력)",(주)윕스,서울 마포구,회사내규에 따름,경력무관 대졸(4년),주5일,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54406636&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,"[니드] AI 헬스 테크스타트업, 환자 서비스 운영 담당자 채용",니드코리아,서울 용산구,회사내규에 따름,신입/경력 학력무관,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607080000204&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
AI,"[신입,경력] (주)윕스 AI 응용 기술 개발자 모집",(주)윕스,서울 마포구,회사내규에 따름,신입/경력 대졸(4년),주5일,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607080002139&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
AI,(주)에이아이엠엔지니어링 반도체 설비 CS·보수 유지 채용 공고,(주)에이아이엠엔지니어링,경기 의왕시,회사내규에 따름,경력무관 학력무관,,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54407033&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,"(주)에이아이엠엔지니어링, 반도체 Test Handler 설비 S/...",(주)에이아이엠엔지니어링,경기 의왕시,회사내규에 따름,경력7년 학력무관,,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54407045&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,[실리콘밸리 AI 헬스테크] 환자 서비스 운영 담당자 채용,니드코리아(유),서울 용산구,회사내규에 따름,경력무관 학력무관,주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54407055&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,AI·빅데이터 기반 CNS Delivery Optimization ...,진메디신(주),서울 성동구,회사내규에 따름,경력5년 박사,,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54407222&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,[다우키움 계열사] AI 활용 시스템 백엔드 개발자 (4년 이상),키다리스튜디오,서울 성동구 등,회사내규에 따름,경력4년 학력무관,주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51219502&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
AI,라이노(Rhino) 기반 AI 3D 모델링 자동화 개발자,(주)지텔레마,서울 구로구,회사내규에 따름,신입/경력2년 대졸(4년),주5일,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54408221&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
AI,[에이아이매틱스] 로보틱스 미들웨어 엔지니어 채용,㈜에이아이매틱스,경기 성남시 분당구 등,회사내규에 따름,경력1년 대졸(4년),,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51220321&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
AI,[개발] Medical Vision AI Engineer (의료 영...,(주)아이넥스코퍼레이션,서울 강남구,회사내규에 따름,경력5년 대졸(4년),,,2026-08-07,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54409137&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML(머신러닝) 엔지니어,,,회사내규에 따름,,,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2000001431090&infoTypeCd=MMA&infoTypeGroup=tb_workinfomma,AI
머신러닝,AI Research Engineer (ML/LLM Service ...,(주)케인앤클루컨설팅,경기 용인시 처인구 등,"연봉 6,500 만원 ~ 9,000 만원",경력10년 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607070002395&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML(머신러닝) 엔지니어,주식회사 로민,서울 서초구,"연봉 5,000 만원 ~ 5,500 만원",신입/경력 석사,,,2026-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=00172237&infoTypeCd=PRD&infoTypeGroup=tb_workinfogubun,AI
머신러닝,머신러닝 엔지니어(ML&LLM),큐픽스,경기 성남시 분당구 등,회사내규에 따름,신입/경력 석사,,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=00172232&infoTypeCd=PRD&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI 에이전트 · ML 엔지니어 취업 부트캠프,솔트룩스,서울 송파구,회사내규에 따름,경력무관 학력무관,,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=559326&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML/DevOps Engineer,사이오닉에이아이,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=312163&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML(머신러닝) 엔지니어 (전문연구요원),로민,서울 서초구,회사내규에 따름,경력무관 학력무관,,,2026-07-19,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=372147&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[경력] AI/ML 엔지니어,(주)긴트,경기 성남시 분당구 등,회사내규에 따름,경력3년 대졸(4년),,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54353894&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI/ML Data Scientist 채용,현대카드,서울 영등포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=559561&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[챌린저스] ML Engineer,화이트큐브,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=348118&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,(주)이노제닉스 머신러닝 엔지니어(경력) 채용,(주)이노제닉스,경기 하남시,회사내규에 따름,경력5년 대졸(4년),기타,,2026-07-29,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54304720&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,Senior ML Solutions Engineer,슈퍼브에이아이(Superb AI),서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=343025&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,"현대카드 한남동(ML,V&P) 기전기사 채용 (3교대).",에프엠파트너㈜,서울 용산구,"연봉 3,300 만원 ~ 3,300 만원",경력1년 학력무관,기타,,2026-07-26,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51145076&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI Engineer (LLM Agent / ML),몬드리안에이아이,인천 연수구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=367999&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML 엔지니어,에이아이구루,서울 서초구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=370239&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI/ML 알고리즘 개발자 2년 이상,엔젤로보틱스,대전 대덕구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369441&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,Jr. ML Engineer(전문연구요원 채용),,,회사내규에 따름,,,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2000001410089&infoTypeCd=MMA&infoTypeGroup=tb_workinfomma,AI
머신러닝,머신러닝 엔지니어 (모델링 고도화),에이블리코퍼레이션,서울 서초구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=356354&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[하이브랩] AI 엔지니어 (AI Engineer / ML Engi...,(주)하이브랩,서울 등,회사내규에 따름,경력3년 대졸(2~3년),,,2026-07-18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54215115&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[BD] Business Development Manager (ML...,마키나락스,서울 서초구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=368503&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[(주)주인정보시스템] AI 모델 개발 (AI/ML model De...,(주)주인정보시스템,서울특별시 강남구 논현로102길,"연봉 3,300 만원 이상",경력5년 대졸(2~3년) ~ 박사,주5일 주 40시간 근로 09:00 ~ 18:00,,2026-08-11,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K120032606120026&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
머신러닝,[AI/ML 엔지니어 ] AI 스마트클린로드 센서 데이터분석 개발자,(주)영신,경기 용인시 기흥구 등,회사내규에 따름,경력무관 대졸(4년),주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54144238&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[병역특례] ML Engineer 전문연구요원,다겸(주),서울 금천구,회사내규에 따름,경력무관 대졸(4년),,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54147171&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,[격주 4.5일] 아이나비 머신러닝 기반 임베디드 영상 처리 개발,팅크웨어(주),경기 성남시 분당구 등,회사내규에 따름,신입/경력1년 대졸(4년),주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54131952&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI/ML-Language Model Research Enginee...,퐁,서울 성북구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=365261&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,머신러닝 엔지니어(3년이상),모다플,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=352814&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,Video ML Engineer (VML 엔지니어),스몰티켓,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=364755&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML Engineer - 전문연구요원(신규 편입/전직),라이너(Liner),서울 마포구,회사내규에 따름,경력무관 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=323359&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,ML Engineer,라이너(Liner),서울 마포구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=323919&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
머신러닝,AI 학습 플랫폼 — ML 엔지니어 (재택근무 가능),주식회사 캐치잇플레이,제주특별자치도 제주시 첨단로,"연봉 4,500 만원 ~ 6,500 만원",경력5년 학력무관,주5일 주 40시간 근로 09:30 ~ 18:30,,2026-07-14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K163012605150032&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,[DL이앤씨] 비서 채용,디엘이앤씨 주식회사,서울 강서구,회사내규에 따름,경력3년 대졸(2~3년),주5일,,2026-08-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607100003185&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
딥러닝,건설현장 경비원 모집(DL건설 범일동 현장),주식회사 두언,부산광역시 동구 조방로16번길,월급 236 만원 ~ 240 만원,경력무관 학력무관,주6일 주 48시간 근로,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBF002607080001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,[DL이앤씨/내포현장]- 안전시설물 설치팀 모집 /경력자우대-이천출...,(주)태영산업,충청남도 홍성군 신대로,월급 290 만원 ~ 350 만원,경력무관 학력무관,주6일 주 40시간 근로,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180332607070032&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,주식회사 데브링크 머신비전/LLM/DL 개발자 모집,주식회사 데브링크,경기 평택시,회사내규에 따름,경력무관 대졸(2~3년),,,2026-09-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54390391&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
딥러닝,영상처리전문가/인공지능/딥러닝 연구원 모집,가천대학교산학협력단,인천 남동구,회사내규에 따름,경력무관 대졸(4년),주5일,,2026-07-30,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54322066&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
딥러닝,[DL이앤씨/서초현장]- 안전시설물 설치팀 모집 /경력자우대-이천출...,(주)태영산업,경기도 이천시 호법면,월급 290 만원 ~ 350 만원,경력무관 학력무관,주6일 주 40시간 근로,,2026-07-18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K180332606290002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,[DL이앤씨] 임원 비서 채용,디엘이앤씨(주),서울 강서구,회사내규에 따름,경력3년 대졸(2~3년),주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54279862&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
딥러닝,[천안 DL 아파트현장] 골조공사 시설반장님 채용합니다.,중현테크㈜,충남 천안시 서북구 등,"일급 160,000 원 ~ 160,000 원",경력 학력무관,기타,,2026-07-23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=51121806&infoTypeCd=CJK&infoTypeGroup=tb_workinfogubun,AI
딥러닝,"[KTIS] DL이앤씨(구,대림) 고객센터 CS상담원",(주)피앤피커리어,서울 등,회사내규에 따름,신입/경력 학력무관,주5일,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606230000326&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,AI
딥러닝,AI/딥러닝 개발자 채용 공고,(주)엔플럭스,경기 성남시 분당구 등,회사내규에 따름,경력2년 대졸(4년),주5일,,2026-07-23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54257465&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
딥러닝,포인드(주) 인공지능·딥러닝 개발자 채용 (신입),포인드주식회사,경상북도 구미시 구미대로,"연봉 3,000 만원 이상",신입 학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141212606150011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,포인드(주) 인공지능·딥러닝 개발자 채용 (경력),포인드주식회사,경상북도 구미시 구미대로,"연봉 3,270 만원 이상",경력2년 학력무관,주5일 주 40시간 근로 09:00 ~ 18:00,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K141212606150010&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,AI
딥러닝,시큐어머신스랩 주식회사 AI·딥러닝·보안 프로젝트 관리(PL),시큐어머신스랩 주식회사,경기 수원시 장안구 등,회사내규에 따름,경력2년 대졸(4년),주5일,,2026-07-15,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54175012&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
딥러닝,NPU 딥러닝 컴파일러 개발 채용,현대자동차,경기 성남시 분당구 등,회사내규에 따름,경력무관 석사,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560359&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
딥러닝,딥러닝 기반 비전/지능 개발자 3~8년,엑스업,경기 안양시,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=367811&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,LLM Research Engineer (Pre-training) ...,카카오,경기 성남시 분당구 등,회사내규에 따름,경력무관 석사,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560190&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
LLM,AI Engineer (LLM / AI Pipeline / Agen...,이한크리에이티브(주),경기 광명시,회사내규에 따름,경력1년 학력무관,,,2026-08-03,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54370359&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,AI 엔지니어 (LLM),엔닷라이트,경기 성남시,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=329004&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,AI/LLM Agent Engineer,몬드리안에이아이,인천 연수구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=371559&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,씨앤에이아이 AI - LLM 채용 공고,,,회사내규에 따름,,,,2026-07-20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2000001424089&infoTypeCd=MMA&infoTypeGroup=tb_workinfomma,AI
LLM,AI Application Engineer (LLM),케이존,경기 성남시,회사내규에 따름,경력 학력무관,,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=366915&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,AI(CV/LLM) 및 풀스택 개발자 채용,(주)투피트,서울 관악구,회사내규에 따름,경력무관 학력무관,,,2026-07-30,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54326213&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,포항공과대학교 친환경소재대학원 PML 연구원 모집 (LLM 개발),포항공과대학교산학협력단,경북 포항시 남구 등,회사내규에 따름,신입/경력2년 대졸(4년),주5일,,2026-07-29,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54307046&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,Local LLM 기반 AI 영업 가능하신 분 모십니다.,㈜케이에스솔루션,대전 중구,회사내규에 따름,경력무관 학력무관,주5일,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54302808&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,LLM 기반 어플리케이션 엔지니어,에이아이웍스,서울 송파구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=346789&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,LLM Serving Engineer(Py/GPU/vLLM AI I...,세타온,서울 강남구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=370021&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,[Blue Garage] AI Artist / LLM Enginee...,블루개러지,서울 강동구,회사내규에 따름,경력무관 학력무관,,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=558130&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
LLM,AI Engineer (LLM 응용 · 백엔드),임팩티브에이아이,서울 강남구,회사내규에 따름,경력무관 대졸(4년),,,2099-01-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=557873&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,AI
LLM,LLM & RAG 엔지니어,이자,서울 영등포구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=343082&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
LLM,메크랩주식회사 CAD/Simulation 특화 LLM 파인튜닝 엔...,메크랩주식회사(Mek-labInc.),인천 미추홀구,"연봉 5,000 만원 ~ 5,000 만원",경력2년 대졸(4년),,,2026-08-22,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54259419&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,[AI Engineer] LLM·RAG 기반 AI Agent 책임급...,(주)루커스,서울 서초구,회사내규에 따름,경력5년 대졸(2~3년),,,2026-07-22,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54247889&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,AI
LLM,LLM 평가·문항생성 파이프라인 AI 엔지니어,뉴런소프트,서울 관악구,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=369433&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,AI
