검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
회계사,로드켐 회계 재무 세무 경리사원 채용 공고,로드켐,대구 달서구,"연봉 2,800 만원 ~ 2,800 만원",경력무관 학력무관,,,2026-07-16,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54188039&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,회계사 사무실 경력직원 구인 (10년이상),이산회계법인,대구광역시 중구 달구벌대로,"연봉 4,000 만원 이상",경력10년 학력무관,주5일 주 40시간 근로 09:00 ~ 17:00,,2026-08-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140112606110002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,[오티씨(주)] 경영관리팀 재무 및 원가회계 경력 모집[SK협력사],오티씨(주),서울 강남구,회사내규에 따름,경력2년 대졸(4년),주5일,,2026-08-10,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54143396&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,회계사사무실 경력 직원 모집,율성회계법인 대구지점,대구광역시 남구 명덕로,"연봉 3,000 만원 이상",경력3년 학력무관,주5일 주 40시간 근로 09:30 ~ 17:30,,2026-08-05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K140022606080008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,"""현대·기아·글로비스 협력 자동차 그룹사 — 법무·세무·회계 담당 ...",동군산현대서비스(주),전북특별자치도 군산시 개정면,"연봉 5,000 만원 이상",경력무관 학력무관,주5일 주 40시간 근로 08:30 ~ 18:00,,2026-08-01,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K161322606020031&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,회계/CPA
회계사,글로벌 핀테크사 회계팀 담당자,이롬넷,지역무관,회사내규에 따름,경력 학력무관,,,2099-12-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=365276&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,[오리엔트그룹] 재무회계팀 채용(사원급),(주)오리엔트,경기 성남시 중원구 등,회사내규에 따름,경력무관 대졸(2~3년),,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53920717&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계사,[루노소프트] 게임개발사 경영지원팀 인사/회계/총무 담당 경력직 채...,,,회사내규에 따름,,,,2027-05-13,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=1013327&infoTypeCd=IBK&infoTypeGroup=tb_workinfoibk,회계/CPA
회계법인,[회계법인 브릭스] 세무회계 정규직 직원 채용 (신입·경력),회계법인브릭스,대구 동구,회사내규에 따름,경력무관 고졸,주5일,,2026-08-12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54441614&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,회계/CPA
회계법인,[회계법인 브릭스] 세무회계 정규직 직원 채용 (신입 · 경력),회계법인 브릭스,대구 동구,"연봉 2,800 만원 ~ 9,999 만원",신입/경력 고졸,주5일,,2026-08-12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607130000007&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,회계/CPA
